id_municipio,ano,mes,tradable_demand_log
1200401,2010,1,0.07883427015613344
1200401,2010,2,0.08125465720336246
1200401,2010,3,0.08356456656853566
1200401,2010,4,0.09120481397902448
1200401,2010,5,0.09672053118243457
1200401,2010,6,0.10110998581909943
1200401,2010,7,0.10479849568813537
1200401,2010,8,0.11297066700806205
1200401,2010,9,0.12738268927518726
1200401,2010,10,0.1319795066986723
1200401,2010,11,0.12933808960391932
1200401,2010,12,0.11203785404993298
1200401,2011,1,0.08593253971185333
1200401,2011,2,0.08816811510732314
1200401,2011,3,0.08677809602141154
1200401,2011,4,0.08210132194977693
1200401,2011,5,0.08593613796308909
1200401,2011,6,0.08392471018903513
1200401,2011,7,0.08517967262108082
1200401,2011,8,0.08555011620671046
1200401,2011,9,0.07832395294522516
1200401,2011,10,0.07895411679526124
1200401,2011,11,0.08072588491609299
1200401,2011,12,0.10085962500343999
1200401,2012,1,0.11408962213409927
1200401,2012,2,0.12012533087219342
1200401,2012,3,0.12348167733324236
1200401,2012,4,0.12710927787031645
1200401,2012,5,0.13043997158609952
1200401,2012,6,0.13270096669086318
1200401,2012,7,0.1329310407716524
1200401,2012,8,0.1274407545094197
1200401,2012,9,0.11799742254633279
1200401,2012,10,0.10977219515528346
1200401,2012,11,0.1026811970593684
1200401,2012,12,0.10506796453012346
1200401,2013,1,0.09839186648011816
1200401,2013,2,0.09545660759447129
1200401,2013,3,0.08940298259668612
1200401,2013,4,0.0833891032564097
1200401,2013,5,0.07784772805398657
1200401,2013,6,0.07264275844370768
1200401,2013,7,0.06957921679133058
1200401,2013,8,0.06346461149187287
1200401,2013,9,0.05914667554637429
1200401,2013,10,0.05919481014830836
1200401,2013,11,0.05853977760372901
1200401,2013,12,0.05958920035850858
1200401,2014,1,0.04402857749723662
1200401,2014,2,0.0441989801599021
1200401,2014,3,0.044660687422570775
1200401,2014,4,0.0381855983916892
1200401,2014,5,0.029773639997031275
1200401,2014,6,0.02519855828139411
1200401,2014,7,0.021637778847081155
1200401,2014,8,0.017893547873611953
1200401,2014,9,0.012858387002462059
1200401,2014,10,0.010718650872767308
1200401,2014,11,0.013636435919553734
1200401,2014,12,0.011616595557973482
1200401,2015,1,0.014021892769949956
1200401,2015,2,0.014779631122691376
1200401,2015,3,0.017402373744282003
1200401,2015,4,0.009437002547824858
1200401,2015,5,-3.7470041236133296e-4
1200401,2015,6,-0.008224632565782321
1200401,2015,7,-0.017612658251123285
1200401,2015,8,-0.023607391159802427
1200401,2015,9,-0.032242648097302255
1200401,2015,10,-0.036881548878060694
1200401,2015,11,-0.04246208538720827
1200401,2015,12,-0.04299229891952097
1200401,2016,1,-0.05209730483981425
1200401,2016,2,-0.0573591103854603
1200401,2016,3,-0.05904500842217396
1200401,2016,4,-0.06443900269156234
1200401,2016,5,-0.06824407195951987
1200401,2016,6,-0.07324293562321121
1200401,2016,7,-0.07771022414257328
1200401,2016,8,-0.08011987245032166
1200401,2016,9,-0.08954629453958045
1200401,2016,10,-0.09612641080502149
1200401,2016,11,-0.1004372509492176
1200401,2016,12,-0.0977383590737729
1200401,2017,1,-0.11899223503669411
1200401,2017,2,-0.12751154891291275
1200401,2017,3,-0.1273727112519578
1200401,2017,4,-0.12446899555565422
1200401,2017,5,-0.1207984858126456
1200401,2017,6,-0.1198127065743554
1200401,2017,7,-0.11713368076150966
1200401,2017,8,-0.11743639839477746
1200401,2017,9,-0.11991184758956003
1200401,2017,10,-0.1144722449400633
1200401,2017,11,-0.11422539357513323
1200401,2017,12,-0.10998384714149617
1200401,2018,1,-0.1163397243262635
1200401,2018,2,-0.1165698338985149
1200401,2018,3,-0.11522726833675168
1200401,2018,4,-0.10708615376729712
1200401,2018,5,-0.10204806597811528
1200401,2018,6,-0.09903323100593399
1200401,2018,7,-0.09159105935179061
1200401,2018,8,-0.08475935301113714
1200401,2018,9,-0.07940260793579933
1200401,2018,10,-0.07521145496532036
1200401,2018,11,-0.07135314556356405
1200401,2018,12,-0.06389038357093912
1200401,2019,1,-0.06241152976772389
1200401,2019,2,-0.05596474349784503
1200401,2019,3,-0.0545830901410073
1200401,2019,4,-0.04979213255369905
1200401,2019,5,-0.04910819039419309
1200401,2019,6,-0.047071741268949176
1200401,2019,7,-0.045152854209529573
1200401,2019,8,-0.04316385533170989
1200401,2019,9,-0.037574278929080926
1200401,2019,10,-0.03571873849997973
1200401,2019,11,-0.032991827981227025
1200401,2019,12,-0.029494320472540327
1200401,2020,1,-0.0082012139505692
1200401,2020,2,-0.0018412323492512997
1200401,2020,3,-0.0034365187458848456
1200401,2020,4,-0.02856108459896646
1200401,2020,5,-0.04076643325919471
1200401,2020,6,-0.03849621040608053
1200401,2020,7,-0.03178503273086789
1200401,2020,8,-0.020704185393682187
1200401,2020,9,-0.009106446848884476
1200401,2020,10,-0.0035848484455834524
1200401,2020,11,0.006435590758100559
1200401,2020,12,0.01563610018855076
1200401,2021,1,0.01952923185133615
1200401,2021,2,0.02934625706667534
1200401,2021,3,0.0342751732222579
1200401,2021,4,0.03417840674420062
1200401,2021,5,0.04102105086615862
1200401,2021,6,0.0501158351215136
1200401,2021,7,0.05594944626964583
1200401,2021,8,0.061585170156846315
1200401,2021,9,0.0636790905995747
1200401,2021,10,0.06590443271696925
1200401,2021,11,0.07027896786255633
1200401,2021,12,0.07351783436650289
1200401,2022,1,0.07561019769956695
1200401,2022,2,0.07735713844772961
1200401,2022,3,0.07957697888572236
1200401,2022,4,0.0792870843074609
1200401,2022,5,0.08668467969255295
1200401,2022,6,0.09280314342554584
1200401,2022,7,0.09673502520845115
1200401,2022,8,0.09803249110671187
1200401,2022,9,0.09583045421727256
1200401,2022,10,0.09380193141485015
1200401,2022,11,0.09196220249924023
1200401,2022,12,0.08895256850149297
1200401,2023,1,0.12600268937088033
1200401,2023,2,0.12523186418288226
1200401,2023,3,0.13044436712785135
1200401,2023,4,0.15621289826938112
1200401,2023,5,0.16887459413564432
1200401,2023,6,0.16867392464828718
1200401,2023,7,0.16175150233356697
1200401,2023,8,0.15376426913903274
1200401,2023,9,0.1433063691203452
1200401,2023,10,0.13399142989652246
1200401,2023,11,0.12551477846488066
1200401,2023,12,0.11752425656736369
1200401,2024,1,0.11178862150632261
1200401,2024,2,0.10699492494906661
1200401,2024,3,0.10578246685791681
1200401,2024,4,0.10638776633818815
1200401,2024,5,0.1016031349279371
1200401,2024,6,0.09767368137560363
1200401,2024,7,0.09516901417684283
1200401,2024,8,0.09089329205015381
1200401,2024,9,0.08753328972621395
1200401,2024,10,0.085949799217013
1200401,2024,11,0.08406124418821524
1200401,2024,12,0.08228700277185443
1501402,2010,1,0.06636372311488031
1501402,2010,2,0.07019150365070367
1501402,2010,3,0.07446029445553017
1501402,2010,4,0.08314882284589602
1501402,2010,5,0.08931441337392583
1501402,2010,6,0.0934323347356353
1501402,2010,7,0.09680634257102967
1501402,2010,8,0.10397511178433527
1501402,2010,9,0.11604241282075962
1501402,2010,10,0.11989746329069238
1501402,2010,11,0.11710689152277153
1501402,2010,12,0.09927850814115675
1501402,2011,1,0.07426634125334083
1501402,2011,2,0.07536419887432139
1501402,2011,3,0.07369516827075408
1501402,2011,4,0.06936798015467599
1501402,2011,5,0.07322680765364423
1501402,2011,6,0.07124844366701756
1501402,2011,7,0.071775206156252
1501402,2011,8,0.07173462586548124
1501402,2011,9,0.0653671676649505
1501402,2011,10,0.06580469392060624
1501402,2011,11,0.06876845875421728
1501402,2011,12,0.08754584887002373
1501402,2012,1,0.10163436083641517
1501402,2012,2,0.10925593685661877
1501402,2012,3,0.11284740934712122
1501402,2012,4,0.11588191126809494
1501402,2012,5,0.11922395212859671
1501402,2012,6,0.1216410619465512
1501402,2012,7,0.12268346008503381
1501402,2012,8,0.11798980487297335
1501402,2012,9,0.1095850533381674
1501402,2012,10,0.10221291509578449
1501402,2012,11,0.09499682218808045
1501402,2012,12,0.09744822749622378
1501402,2013,1,0.0940500878235553
1501402,2013,2,0.0910806524797013
1501402,2013,3,0.08569732151989916
1501402,2013,4,0.0795688839838581
1501402,2013,5,0.07398549007078095
1501402,2013,6,0.0691218247284796
1501402,2013,7,0.06572548251740325
1501402,2013,8,0.0595415873692185
1501402,2013,9,0.05635665419289743
1501402,2013,10,0.05627906552763594
1501402,2013,11,0.054962719825749996
1501402,2013,12,0.05620266412091644
1501402,2014,1,0.036553609238375334
1501402,2014,2,0.03779619923615872
1501402,2014,3,0.03810735969407186
1501402,2014,4,0.03218106791188368
1501402,2014,5,0.02488652580713984
1501402,2014,6,0.020760946767603428
1501402,2014,7,0.01837098647475655
1501402,2014,8,0.015866088507969733
1501402,2014,9,0.011096800135507984
1501402,2014,10,0.008421142921546148
1501402,2014,11,0.010409309837881664
1501402,2014,12,0.008530881783101534
1501402,2015,1,0.010776972439481359
1501402,2015,2,0.011246302699235723
1501402,2015,3,0.013212675031247664
1501402,2015,4,0.004858181311990501
1501402,2015,5,-0.0051229428646165694
