ano,cnae_divisao,emprego_nacional
2009,90,14313
2009,91,7004
2009,92,1940
2009,93,165254
2009,94,859994
2009,95,93693
2009,96,181132
2009,97,13202
2009,99,4830
2010,01,1303092
2010,02,129703
2010,03,17270
2010,05,5418
2010,06,29294
2010,07,65572
2010,08,85285
2010,09,25647
2010,10,1400852
2010,11,126398
2010,12,15608
2010,13,312690
2010,14,706125
2010,15,419973
2010,16,204350
2010,17,173219
2010,18,123095
2010,19,150674
2010,20,271120
2010,21,92472
2010,22,446369
2010,23,413722
2010,24,254037
2010,25,526202
2010,26,165056
2010,27,212780
2010,28,373660
2010,29,506160
2010,30,93313
2010,31,256352
2010,32,135371
2010,33,137525
2010,35,120591
2010,36,122684
2010,37,24616
2010,38,163862
2010,39,1691
2010,41,1197149
2010,42,847985
2010,43,588540
2010,45,927538
2010,46,1380202
2010,47,6005089
2010,49,1477938
2010,50,33374
2010,51,67527
2010,52,359762
2010,53,163782
2010,55,293555
2010,56,1238176
2010,58,114910
2010,59,24528
2010,60,90098
2010,61,148272
2010,62,255876
2010,63,121943
2010,64,602325
2010,65,118774
2010,66,91400
2010,68,101622
2010,69,316664
2010,70,102050
2010,71,272722
2010,72,49387
2010,73,71900
2010,74,82391
2010,75,5112
2010,77,174886
2010,78,555271
2010,79,65232
2010,80,575784
2010,81,1287203
2010,82,1096434
2010,84,8966385
2010,85,1529330
2010,86,1457834
2010,87,95278
2010,88,97450
2010,90,15486
2010,91,6832
2010,92,1894
2010,93,175882
2010,94,893633
2010,95,103067
2010,96,194137
2010,97,5946
2010,99,7952
2011,01,1370913
2011,02,133009
2011,03,18711
2011,05,4947
2011,06,29597
2011,07,75731
2011,08,91167
2011,09,29947
2011,10,1452835
2011,11,130829
2011,12,15132
2011,13,302262
2011,14,704033
2011,15,408761
2011,16,202043
2011,17,175122
2011,18,125213
2011,19,164354
2011,20,273143
2011,21,93386
2011,22,444267
2011,23,439271
2011,24,259737
2011,25,544703
2011,26,177066
2011,27,223135
2011,28,402882
2011,29,526099
2011,30,97619
2011,31,269035
2011,32,142573
2011,33,153009
2011,35,126527
2011,36,123490
2011,37,16283
2011,38,177523
2011,39,1445
2011,41,1309243
2011,42,920170
2011,43,679718
2011,45,986174
2011,46,1454237
2011,47,6315917
2011,49,1584793
2011,50,36630
2011,51,72653
2011,52,389462
2011,53,177890
2011,55,308487
2011,56,1334741
2011,58,112937
2011,59,26009
2011,60,94067
2011,61,182591
2011,62,278487
2011,63,116968
2011,64,621807
2011,65,128882
2011,66,89553
2011,68,114424
2011,69,357607
2011,70,103295
2011,71,308028
2011,72,48442
2011,73,86033
2011,74,99330
2011,75,5441
2011,77,201449
2011,78,539498
2011,79,71218
2011,80,627502
2011,81,1404741
2011,82,1185415
2011,84,9152902
2011,85,1644599
2011,86,1574638
2011,87,91995
2011,88,107608
2011,90,16600
2011,91,6574
2011,92,1470
2011,93,188098
2011,94,877602
2011,95,126252
2011,96,206342
2011,97,11392
2011,99,4921
2012,01,1352881
2012,02,122403
2012,03,17896
2012,05,5877
2012,06,33160
2012,07,90195
2012,08,95621
2012,09,34444
2012,10,1438869
2012,11,144689
2012,12,14911
2012,13,298619
2012,14,695172
2012,15,401849
2012,16,196792
2012,17,177230
2012,18,126152
2012,19,160979
2012,20,274919
2012,21,96618
2012,22,452373
2012,23,451568
2012,24,251651
2012,25,539641
2012,26,175462
2012,27,228222
2012,28,410587
2012,29,514483
2012,30,105422
2012,31,279558
2012,32,149441
2012,33,169338
2012,35,124003
2012,36,128348
2012,37,19347
2012,38,183914
2012,39,1319
2012,41,1339911
2012,42,945889
2012,43,729573
2012,45,1024329
2012,46,1528235
2012,47,6590104
2012,49,1649172
2012,50,36949
2012,51,71160
2012,52,415158
2012,53,184314
2012,55,322405
2012,56,1417372
2012,58,110214
2012,59,28378
2012,60,98506
2012,61,195176
2012,62,315349
2012,63,108114
2012,64,642572
2012,65,138065
2012,66,88520
2012,68,127059
2012,69,390160
2012,70,99095
2012,71,319217
2012,72,43169
2012,73,90227
2012,74,102644
2012,75,6048
2012,77,213737
2012,78,604448
2012,79,75520
2012,80,677082
2012,81,1431400
2012,82,1244180
2012,84,8989012
2012,85,1740779
2012,86,1682570
2012,87,96295
2012,88,126879
2012,90,18859
2012,91,6192
2012,92,1275
2012,93,200141
2012,94,877439
2012,95,126789
2012,96,216397
2012,97,4865
2012,99,3816
2013,01,1368727
2013,02,111832
2013,03,18907
2013,05,5336
2013,06,34020
2013,07,89944
2013,08,97970
2013,09,34113
2013,10,1504798
2013,11,139074
2013,12,14170
2013,13,302869
2013,14,696085
2013,15,395461
2013,16,192868
2013,17,181634
2013,18,123924
2013,19,162777
2013,20,281824
2013,21,99388
2013,22,457043
2013,23,460712
2013,24,250700
2013,25,535015
2013,26,179041
2013,27,225643
2013,28,428140
2013,29,532364
2013,30,115065
2013,31,284319
2013,32,156918
2013,33,180304
2013,35,127062
2013,36,130741
2013,37,23219
2013,38,196886
2013,39,1621
2013,41,1351652
2013,42,955272
2013,43,787229
2013,45,1027994
2013,46,1584156
2013,47,6817524
2013,49,1721479
2013,50,43705
2013,51,70695
2013,52,427608
2013,53,189396
2013,55,336961
2013,56,1503343
2013,58,105744
2013,59,29921
2013,60,93743
2013,61,205771
2013,62,326438
2013,63,109439
2013,64,645313
2013,65,141338
2013,66,91537
2013,68,135478
2013,69,414985
2013,70,100908
2013,71,320808
2013,72,46504
2013,73,90853
2013,74,101496
2013,75,6517
2013,77,218114
2013,78,558934
2013,79,76137
2013,80,697814
2013,81,1474994
2013,82,1318381
2013,84,9395748
2013,85,1827614
2013,86,1776878
2013,87,99666
2013,88,129330
2013,90,19190
2013,91,6673
2013,92,1267
2013,93,210827
2013,94,855608
2013,95,121039
2013,96,225006
2013,97,4872
2013,99,6020
2014,01,1365113
2014,02,109344
2014,03,20448
2014,05,5360
2014,06,31810
2014,07,87874
2014,08,97816
2014,09,34746
2014,10,1531732
2014,11,138250
2014,12,13688
2014,13,296028
2014,14,683752
2014,15,372499
2014,16,189195
2014,17,184767
2014,18,121979
2014,19,158758
2014,20,282389
2014,21,103101
2014,22,455677
2014,23,457034
2014,24,236904
2014,25,509829
2014,26,167344
2014,27,224188
2014,28,408118
2014,29,489279
2014,30,111719
2014,31,283001
2014,32,157834
2014,33,188781
2014,35,126086
2014,36,132015
2014,37,16484
2014,38,209718
2014,39,1525
2014,41,1318124
2014,42,889164
2014,43,812139
2014,45,1034516
2014,46,1640730
2014,47,6971130
2014,49,1776584
2014,50,45636
2014,51,71731
2014,52,443057
2014,53,187199
2014,55,352044
2014,56,1585110
2014,58,102121
2014,59,29947
2014,60,96261
2014,61,191466
2014,62,341173
2014,63,114560
2014,64,649445
2014,65,150307
2014,66,94620
2014,68,143375
2014,69,433796
2014,70,105054
2014,71,295856
2014,72,49350
2014,73,92295
2014,74,96922
2014,75,7324
2014,77,225069
2014,78,552193
2014,79,75389
2014,80,711781
2014,81,1539551
2014,82,1366299
2014,84,9409661
2014,85,1959373
2014,86,1887639
2014,87,105160
2014,88,138324
2014,90,18967
2014,91,6465
2014,92,1205
2014,93,223289
2014,94,867442
2014,95,116951
2014,96,231501
2014,97,5139
2014,99,4891
2015,01,1385502
2015,02,103775
2015,03,19773
2015,05,4309
2015,06,30941
2015,07,80748
2015,08,94748
2015,09,29742
2015,10,1529478
2015,11,129833
2015,12,13863
2015,13,260478
2015,14,614614
2015,15,341489
2015,16,176219
2015,17,177323
2015,18,113243
2015,19,151262
2015,20,269618
2015,21,103187
2015,22,412431
2015,23,427447
2015,24,213790
2015,25,450799
2015,26,136234
2015,27,198288
2015,28,361416
2015,29,426107
2015,30,98269
2015,31,256067
2015,32,147592
2015,33,176465
2015,35,132013
2015,36,132291
2015,37,14320
2015,38,200167
2015,39,1553
2015,41,1117557
2015,42,730394
2015,43,737217
2015,45,981998
2015,46,1617214
2015,47,6853786
2015,49,1740127
2015,50,43492
2015,51,68562
2015,52,421388
2015,53,182627
2015,55,352643
2015,56,1579164
2015,58,90215
2015,59,29437
2015,60,94164
2015,61,191772
2015,62,346633
2015,63,116353
2015,64,644384
2015,65,152564
2015,66,99269
2015,68,146122
2015,69,448103
2015,70,108180
2015,71,256575
2015,72,46204
2015,73,93131
2015,74,90501
2015,75,9233
2015,77,219644
2015,78,480743
2015,79,70970
2015,80,670107
2015,81,1544189
2015,82,1343389
2015,84,9249508
2015,85,2003819
2015,86,1952290
2015,87,109172
2015,88,139599
2015,90,18540
2015,91,5924
2015,92,1201
2015,93,232594
2015,94,863137
2015,95,114358
2015,96,227184
2015,97,4364
2015,99,5672
2016,01,1363249
2016,02,101847
2016,03,18115
2016,05,3958
2016,06,28047
2016,07,78783
2016,08,87160
2016,09,23383
2016,10,1479226
2016,11,123524
2016,12,13919
2016,13,251826
2016,14,579321
2016,15,341326
2016,16,165289
2016,17,171536
2016,18,105882
2016,19,143158
2016,20,268542
2016,21,102342
2016,22,395245
2016,23,386928
2016,24,199063
2016,25,409017
2016,26,124703
2016,27,184217
2016,28,326342
2016,29,386595
2016,30,81330
2016,31,234843
2016,32,143847
2016,33,165966
2016,35,130042
2016,36,131160
2016,37,12751
2016,38,185887
2016,39,2313
2016,41,900578
2016,42,589948
2016,43,631809
2016,45,936792
2016,46,1598734
2016,47,6654312
2016,49,1656963
2016,50,42604
2016,51,63871
2016,52,404645
2016,53,175781
2016,55,341212
2016,56,1548393
