id_municipio,cnae_divisao,S_xi
1200401,00,0.016877493538135502
1200401,01,0.022285644051507392
1200401,02,3.948069256872847e-4
1200401,03,7.77491894744239e-5
1200401,08,0.00289901204994425
1200401,10,0.015234692375819746
1200401,11,0.004505773152948294
1200401,12,4.9683966290735976e-5
1200401,13,6.504673883877311e-4
1200401,14,0.0016292971708013494
1200401,15,0.0012943316482697806
1200401,16,0.009217630840823235
1200401,17,5.328041219464764e-4
1200401,18,0.0011515608161635862
1200401,20,2.563215964881596e-4
1200401,21,4.7992636617666905e-5
1200401,22,0.0012643059608246007
1200401,23,0.006575813981997441
1200401,24,7.085054591104477e-4
1200401,25,0.0013177072940963985
1200401,26,1.7193435340079007e-4
1200401,27,3.783461428442826e-4
1200401,28,1.322513500361802e-4
1200401,29,5.161753966137967e-4
1200401,30,6.276597080127039e-5
1200401,31,0.0017843496205454177
1200401,32,5.818517628405589e-4
1200401,33,5.561363866935083e-4
1200401,35,0.00587199688684429
1200401,36,0.0058178812308982515
1200401,38,0.0014836870068839648
1200401,41,0.0386146338187353
1200401,42,0.011257299108280704
1200401,43,0.011093411557341995
1200401,45,0.02087138491464557
1200401,46,0.01922315233799319
1200401,47,0.1172192673119067
1200401,49,0.02148859280257257
1200401,51,0.0013100129716175114
1200401,52,0.003795575099575252
1200401,53,0.003089162428163729
1200401,55,0.006094743407451228
1200401,56,0.013764048222360775
1200401,58,9.399147699934559e-4
1200401,59,4.969643988076394e-4
1200401,60,0.0026437386513854274
1200401,61,0.0016429881631384263
1200401,62,3.6587430350472236e-4
1200401,63,0.0022947884552725808
1200401,64,0.00704111917470599
1200401,65,0.001260956565841844
1200401,66,3.2367215877917823e-4
1200401,68,8.207651745007677e-4
1200401,69,0.0017194550685027902
1200401,70,2.66069206600056e-4
1200401,71,0.0013565963207810693
1200401,72,0.0033116648442374727
1200401,73,3.018236939045286e-4
1200401,74,5.002420722864555e-4
1200401,75,1.7808815508747278e-4
1200401,77,0.001766719126996831
1200401,78,0.004235062674009781
1200401,79,0.0013422494275045693
1200401,80,0.01459046624923862
1200401,81,0.017118360982101465
1200401,82,0.003230415193179916
1200401,84,0.48045398192702415
1200401,85,0.036227631881732024
1200401,86,0.018610870889383905
1200401,87,3.8356335320720155e-5
1200401,88,0.004047464178044054
1200401,90,1.8402557484678995e-4
1200401,91,0.004281783884352554
1200401,92,1.0638516500826461e-4
1200401,93,0.002230380858825455
1200401,94,0.010347295236073936
1200401,95,0.0011094202762257782
1200401,96,0.0021526762277750485
1200401,97,4.041899614150956e-4
